Participación Ciudadana Elecciones Generales 2021

"ACTUALIZADO EL 31/05/2021 A LAS 16:29 h"
""
"PARTICIPACIÓN"
"TOTAL ASISTENTES","% TOTAL ASISTENTES"
"17,713,716","70.048"
""
"AUSENTISMO"
"TOTAL AUSENTES","% TOTAL AUSENTES"
"7,574,238","29.952"
""
"ELECTORES HÁBILES"
"25,287,954"
