Resultados Elecciones Generales Presidenciales 2021 - 

"AMAZONAS > BAGUA > ARAMANGO"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"8,526","5,572","65.353"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","356","9.327"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","0.341"
"PARTIDO MORADO","41","1.074"
"PERU PATRIA SEGURA","4","0.105"
"VICTORIA NACIONAL","151","3.956"
"ACCION POPULAR","267","6.995"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","69","1.808"
"PODEMOS PERU","265","6.943"
"JUNTOS POR EL PERU","105","2.751"
"PARTIDO POPULAR CRISTIANO - PPC","8","0.210"
"FUERZA POPULAR","673","17.632"
"UNION POR EL PERU","45","1.179"
"RENOVACION POPULAR","252","6.602"
"RENACIMIENTO UNIDO NACIONAL","42","1.100"
"PARTIDO DEMOCRATICO SOMOS PERU","27","0.707"
"PARTIDO POLITICO NACIONAL PERU LIBRE","1,250","32.748"
"DEMOCRACIA DIRECTA","8","0.210"
"ALIANZA PARA EL PROGRESO","241","6.314"
"TOTAL DE VOTOS VÁLIDOS","3,817","100.000"
"VOTOS EN BLANCO","1,326",""
"VOTOS NULOS","429",""
"TOTAL DE VOTOS EMITIDOS","5,572",""
""
""
"Actas","Actas Procesadas 100.000%","Actas Enviadas al JNE"
"31","31","0"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"31","0","0"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"0","0","0","0","0","0","0","0","0","0"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"0","0"
""
""
"ACTAS POR PROCESAR(0.000)%"
"0"
""
""
